x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg_contact,right_leg_contact,euclidean_distance,total_velocity,fast_descent,polar_angle_to_pad,abs_y_velocity,angle_x_angular_vel,x_pos_x_x_vel,y_pos_x_y_vel,low_alt_high_speed,action
-0.00058050157,1.4163733,-0.05881094,0.24236916,0.0006794155,0.013321546,0.0,0.0,1.416373,0.249402,0.000000,1.571206,0.24236916,9.050865e-06,3.413984e-05,0.3432852,0.000000,3
-0.0010861397,1.421759,-0.049328674,0.23936768,-0.00054806704,-0.024551023,0.0,0.0,1.421759,0.244398,0.000000,1.571560,0.23936768,1.3455607e-05,5.357783e-05,0.34032315,0.000000,3
-0.0015254021,1.4270372,-0.0410018,0.23458208,-0.0034440989,-0.05792595,0.0,0.0,1.427038,0.238138,0.000000,1.571865,0.23458208,0.0001995027,6.254423e-05,0.33475736,0.000000,3
-0.001874733,1.4322121,-0.029714394,0.22997174,-0.008601413,-0.103155896,0.0,0.0,1.432213,0.231883,0.000000,1.572105,0.22997174,0.0008872865,5.5706558e-05,0.3293683,0.000000,3
-0.0021318435,1.4372787,-0.018153802,0.22513042,-0.016073897,-0.14946371,0.0,0.0,1.437280,0.225861,0.000000,1.572280,0.22513042,0.0024024644,3.8701062e-05,0.32357517,0.000000,1
-0.002455139,1.4422619,-0.026464349,0.22139688,-0.021870457,-0.115942046,0.0,0.0,1.442264,0.222973,0.000000,1.572499,0.22139688,0.0025357055,6.4973654e-05,0.3193123,0.000000,3
-0.0026819229,1.447135,-0.01436342,0.2164331,-0.030094998,-0.16450568,0.0,0.0,1.447137,0.216909,0.000000,1.572650,0.2164331,0.004950798,3.8521586e-05,0.3132079,0.000000,1
-0.0030056,1.4519043,-0.02652609,0.21184321,-0.03587753,-0.1156614,0.0,0.0,1.451907,0.213497,0.000000,1.572866,0.21184321,0.004149645,7.9726815e-05,0.30757606,0.000000,1
-0.003392601,1.4565703,-0.034468003,0.20726547,-0.04006983,-0.083853565,0.0,0.0,1.456574,0.210112,0.000000,1.573125,0.20726547,0.003359998,0.00011693618,0.30189672,0.000000,1
-0.0038454055,1.4611543,-0.04272712,0.20366713,-0.042593863,-0.050484836,0.0,0.0,1.461159,0.208101,0.000000,1.573428,0.20366713,0.0021503442,0.0001643031,0.29758912,0.000000,3
-0.004224396,1.4656249,-0.033466075,0.1985644,-0.046983782,-0.08780672,0.0,0.0,1.465631,0.201365,0.000000,1.573679,0.1985644,0.0041254917,0.00014137395,0.29102093,0.000000,1
-0.0046894075,1.4700122,-0.044257354,0.1949202,-0.049196478,-0.044257846,0.0,0.0,1.470020,0.199881,0.000000,1.573986,0.1949202,0.0021773302,0.00020754077,0.28653505,0.000000,3
