x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg_contact,right_leg_contact,action,next_reward
0.0062045096,1.3994888,0.62843794,-0.50806403,-0.0071827257,-0.14235057,0.0,0.0,0,0.301970
0.01240921,1.3879846,0.6275891,-0.51134497,-0.014217018,-0.14069918,0.0,0.0,0,0.172032
0.018614197,1.3763832,0.627611,-0.5157095,-0.021246905,-0.14061108,0.0,0.0,0,0.179824
0.02481947,1.3646849,0.62763166,-0.5200387,-0.028275881,-0.1405926,0.0,0.0,0,0.185445
0.031024933,1.3528903,0.6276523,-0.5243643,-0.03530373,-0.1405701,0.0,0.0,0,0.190824
0.03723059,1.3409988,0.627673,-0.5286892,-0.04233047,-0.14054774,0.0,0.0,0,0.196071
0.04343643,1.3290108,0.62769353,-0.5330145,-0.0493561,-0.14052564,0.0,0.0,0,0.201227
0.04964266,1.3169265,0.627714,-0.5373399,-0.056380633,-0.14050362,0.0,0.0,0,0.206349
0.055849075,1.3047452,0.6277343,-0.5416655,-0.063404076,-0.14048162,0.0,0.0,0,0.211339
0.062055778,1.2924676,0.62775457,-0.5459913,-0.07042643,-0.14045985,0.0,0.0,0,0.216248
0.068262674,1.2800933,0.6277748,-0.5503174,-0.07744768,-0.14043786,0.0,0.0,0,0.221087
0.07446985,1.2676225,0.6277948,-0.5546436,-0.084467836,-0.14041625,0.0,0.0,0,0.225785
0.080677226,1.2550551,0.6278147,-0.5589699,-0.091486916,-0.14039436,0.0,0.0,0,0.230406
0.08688488,1.2423911,0.62783456,-0.56329644,-0.09850492,-0.1403729,0.0,0.0,0,0.234915
0.093092725,1.2296304,0.6278542,-0.5676232,-0.10552183,-0.14035103,0.0,0.0,0,0.239305
0.09930096,1.2167729,0.6278737,-0.57195,-0.11253767,-0.14032994,0.0,0.0,0,0.243555
0.10550928,1.2038188,0.62789315,-0.576277,-0.11955243,-0.14030822,0.0,0.0,0,0.247660
0.111717984,1.190768,0.6279124,-0.58060426,-0.12656614,-0.14028703,0.0,0.0,0,0.251617
0.11792688,1.1776208,0.6279316,-0.5849316,-0.13357878,-0.1402656,0.0,0.0,0,0.255434
0.12413607,1.164377,0.62795055,-0.5892591,-0.14059035,-0.14024433,0.0,0.0,0,0.259083
0.13034554,1.1510365,0.62796944,-0.5935868,-0.14760087,-0.14022318,0.0,0.0,0,0.262571
0.13655528,1.1375992,0.62798816,-0.59791464,-0.15461038,-0.1402025,0.0,0.0,0,0.265878
0.14276533,1.1240653,0.6280067,-0.60224265,-0.1616188,-0.14018124,0.0,0.0,0,0.268974
0.14897566,1.1104348,0.6280251,-0.60657084,-0.1686262,-0.14016059,0.0,0.0,0,0.271865
0.15518627,1.0967078,0.62804335,-0.61089915,-0.17563255,-0.14013949,0.0,0.0,0,0.228964
0.1613944,1.082863,0.6278082,-0.6161663,-0.18263865,-0.14012186,0.0,0.0,0,0.280347
0.16760273,1.0689216,0.6278071,-0.6204903,-0.18964471,-0.14012131,0.0,0.0,0,0.282435
0.17381115,1.0548836,0.62780595,-0.62481433,-0.19665073,-0.14012082,0.0,0.0,0,0.284274
