# State | Left (0) | Down (1) | Right (2) | Up (3)
0.7351	0.7738	0.7738	0.7351
0.7351	0.0000	0.8145	0.7696
0.7685	0.8574	0.7736	0.8144
0.8145	0.0000	0.6183	0.7420
0.7738	0.8145	0.0000	0.7351
0.0000	0.0000	0.0000	0.0000
0.0000	0.9025	0.0000	0.8145
0.0000	0.0000	0.0000	0.0000
0.8145	0.0000	0.8574	0.7738
0.8145	0.9025	0.9025	0.0000
0.8574	0.9500	0.0000	0.8574
0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000
0.0000	0.9025	0.9500	0.8573
0.9025	0.9500	1.0000	0.9025
0.0000	0.0000	0.0000	0.0000

