@RELATION lunarlander

@ATTRIBUTE x_position NUMERIC
@ATTRIBUTE y_position NUMERIC
@ATTRIBUTE x_velocity NUMERIC
@ATTRIBUTE y_velocity NUMERIC
@ATTRIBUTE angle NUMERIC
@ATTRIBUTE angular_velocity NUMERIC
@ATTRIBUTE left_leg_contact NUMERIC
@ATTRIBUTE right_leg_contact NUMERIC
@ATTRIBUTE action {0,1,2,3}
@ATTRIBUTE next_reward NUMERIC

@DATA
-0.007539749,1.4004928,-0.76372004,-0.46346426,0.008743551,0.17299375,0.0,0.0,3,0.988270
-0.015010071,1.3899865,-0.7538989,-0.46700194,0.015529906,0.13574094,0.0,0.0,3,1.332828
-0.02238903,1.3793901,-0.742415,-0.47100103,0.02000329,0.089475945,0.0,0.0,3,1.420353
-0.029685497,1.3686955,-0.7320822,-0.47534662,0.0224028,0.047994826,0.0,0.0,3,1.439743
-0.03691473,1.357907,-0.7236271,-0.4795021,0.023104744,0.014040368,0.0,0.0,3,1.724020
-0.044068336,1.3470291,-0.7141503,-0.4834448,0.021903304,-0.02403104,0.0,0.0,3,1.845556
-0.051149845,1.3360534,-0.7051002,-0.48777363,0.018889409,-0.060283583,0.0,0.0,3,1.952929
-0.058165837,1.324986,-0.69689596,-0.49183032,0.014231904,-0.09315852,0.0,0.0,3,2.406264
-0.065093614,1.3138282,-0.6858284,-0.49585524,0.0073578856,-0.13749294,0.0,0.0,3,2.172521
-0.071947575,1.3025829,-0.67656803,-0.49977556,-0.0013676063,-0.17452586,0.0,0.0,3,0.477613
-0.07873144,1.2912482,-0.6677788,-0.5038026,-0.011847677,-0.20962088,0.0,0.0,1,-0.737174
-0.08558197,1.2798194,-0.67616427,-0.50804305,-0.02063838,-0.17583026,0.0,0.0,3,0.424620
-0.09236918,1.2683023,-0.668229,-0.51204383,-0.031011498,-0.20748138,0.0,0.0,1,-0.785676
-0.09923506,1.2566978,-0.6781164,-0.5159515,-0.039390054,-0.16758645,0.0,0.0,3,0.494912
-0.10602808,1.244989,-0.6689946,-0.52068585,-0.04959666,-0.20415084,0.0,0.0,1,-0.852737
-0.112911895,1.2331893,-0.6803755,-0.52471,-0.05751076,-0.1582962,0.0,0.0,3,0.620738
-0.11971283,1.2212876,-0.67001736,-0.5293821,-0.06750043,-0.19981173,0.0,0.0,3,0.307218
-0.12644796,1.2092922,-0.6617874,-0.53369385,-0.079126135,-0.23253497,0.0,0.0,1,-0.792550
-0.13324746,1.197203,-0.6698917,-0.5378541,-0.08911929,-0.1998812,0.0,0.0,3,0.349050
-0.13996668,1.1849986,-0.65979964,-0.5431871,-0.10115443,-0.24072453,0.0,0.0,1,-0.810741
-0.14674854,1.1726995,-0.66767913,-0.5473778,-0.11160375,-0.20900504,0.0,0.0,1,-0.634487
-0.15359631,1.1603179,-0.67596924,-0.55096585,-0.120365046,-0.17524162,0.0,0.0,3,0.613849
-0.16034889,1.1478347,-0.66408,-0.55575067,-0.13150576,-0.22283444,0.0,0.0,1,-0.652617
-0.16716433,1.1352761,-0.67200863,-0.5590245,-0.1410102,-0.19010577,0.0,0.0,3,0.511118
-0.17388324,1.1226062,-0.6599527,-0.56428224,-0.15294954,-0.23880847,0.0,0.0,1,-0.733185
-0.18066606,1.1098531,-0.6685445,-0.56782204,-0.16267724,-0.19456528,0.0,0.0,3,0.328631
-0.18736306,1.0969677,-0.6571722,-0.57410663,-0.17521393,-0.25073385,0.0,0.0,1,-0.721882
-0.19411746,1.0840117,-0.66446364,-0.5771582,-0.1862288,-0.22029734,0.0,0.0,1,-0.631589
-0.20093465,1.070976,-0.6723762,-0.5805696,-0.1956227,-0.18787797,0.0,0.0,3,0.404855
-0.20766187,1.0578096,-0.6610548,-0.586759,-0.20737782,-0.23510237,0.0,0.0,1,-0.713662
-0.21445718,1.0445694,-0.6696545,-0.5898718,-0.21735343,-0.1995121,0.0,0.0,3,0.237096
