x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg_contact,right_leg_contact,action,next_reward
0.00046710967,1.4178227,0.04729434,0.30678406,-0.0005344443,-0.0107128555,0.0,0.0,1,-0.320180
0.0008403778,1.4246548,0.035475887,0.30365303,0.0012937641,0.036568247,0.0,0.0,1,-0.568762
0.001143837,1.4313958,0.026726205,0.2995945,0.0048742653,0.0716162,0.0,0.0,1,-0.695538
0.0013858795,1.4380354,0.019022781,0.29506463,0.009996891,0.10246229,0.0,0.0,3,-0.621185
0.0017163276,1.4445744,0.030127907,0.2905998,0.0128892055,0.057851452,0.0,0.0,1,-0.622440
0.0019696236,1.4510121,0.020435225,0.28607893,0.017725062,0.096726045,0.0,0.0,3,-0.600196
0.0022982596,1.4573503,0.029909858,0.28165537,0.02065721,0.05864794,0.0,0.0,1,-0.654043
0.002547741,1.4635979,0.019973963,0.27759293,0.02557806,0.09842602,0.0,0.0,3,-0.652388
0.0028839111,1.469762,0.030863404,0.2739092,0.028305307,0.054549724,0.0,0.0,1,-0.579788
0.0031347275,1.475827,0.020154137,0.26944813,0.033179473,0.09749228,0.0,0.0,3,-0.650281
0.003467083,1.4818106,0.030396312,0.26587975,0.035987057,0.05615654,0.0,0.0,0,-0.440092
0.003799343,1.4876974,0.030388823,0.26155713,0.03879554,0.056174748,0.0,0.0,0,-0.430372
0.004131603,1.4934868,0.030380588,0.25723454,0.041603155,0.05615762,0.0,0.0,0,-0.420708
0.0044636726,1.499179,0.03037248,0.25291187,0.044410344,0.05614873,0.0,0.0,0,-0.411079
0.004795742,1.5047743,0.030364424,0.2485892,0.047217097,0.056140233,0.0,0.0,0,-0.401431
0.005127716,1.5102725,0.030356403,0.24426648,0.050023437,0.056131817,0.0,0.0,0,-0.391771
0.0054594995,1.5156734,0.030348416,0.23994368,0.052829333,0.056123246,0.0,0.0,0,-0.382139
0.0057912827,1.5209771,0.030340467,0.23562084,0.055634826,0.056114934,0.0,0.0,0,-0.372504
0.006122875,1.5261838,0.030332547,0.23129793,0.05843988,0.056106437,0.0,0.0,0,-0.362887
0.0064545632,1.5312933,0.030324671,0.22697496,0.061244544,0.056098145,0.0,0.0,0,-0.353268
0.006785965,1.5363057,0.030316819,0.22265193,0.06404877,0.05608969,0.0,0.0,0,-0.343651
0.007117367,1.5412208,0.03030901,0.21832886,0.06685258,0.056081485,0.0,0.0,0,-0.334052
0.0074486732,1.5460387,0.030301232,0.21400572,0.06965597,0.05607312,0.0,0.0,0,-0.324466
0.0077799796,1.5507596,0.030293498,0.20968254,0.07245895,0.056064952,0.0,0.0,0,-0.314889
0.008111191,1.5553832,0.030285796,0.2053593,0.07526153,0.056056637,0.0,0.0,3,-0.244712
0.00854063,1.5598924,0.042582836,0.20038353,0.07561968,0.007162884,0.0,0.0,0,-0.054868
