# a0	a1	a2	a3
    -27.7194	    -23.3576	    -36.3108	    -18.0266
      3.6157	     14.4309	    -15.5218	      5.3766
     46.0028	     45.7109	    -24.5971	     45.7008
    -30.6719	    -43.8411	    -39.1909	     -1.6725
    -66.8850	    -33.2757	    -90.9793	    -53.1394
     22.8589	     16.5175	     -1.5072	     15.1056
     27.0746	     20.6343	     17.7442	     21.8068
      6.8031	      3.9092	    -15.0877	      2.2842
     39.0621	     12.5967	    -11.8673	     24.9364
     -1.8065	      9.4192	    -11.0603	    -15.7072
      0.3398	     12.0248	    -17.1384	     -8.9175
    -26.7874	      9.7890	    -51.9457	    -27.6236
    -10.1635	     -5.3679	    -38.9697	    -14.6429
     15.5020	     18.2992	     -9.4104	     10.4199
    -60.5718	    -52.2028	    -40.8838	    -51.3083
    -15.4712	      0.0596	    -20.2889	    -13.3610
      1.2301	     15.1003	      4.4337	      1.9157
    -17.6056	    -34.2927	    -42.6233	      7.1465
    -13.9144	     -4.9054	    -49.0303	    -24.0174
    -10.1946	    -11.4691	    -16.6855	      6.6556
    -15.3602	    -13.0420	    -26.9761	     -9.0385
      6.9712	     13.5141	     -0.4069	      4.9456
     19.7432	     17.4239	      5.0851	     11.2516
    -23.3894	    -20.9290	    -34.9051	    -26.9507
     25.3592	     42.7157	    -30.0939	     15.0212
     21.1623	     33.5567	    -10.1255	      8.2607
     20.7301	     14.3393	      0.2744	     33.1890
     30.8654	     29.4527	     34.7092	     21.6919
     18.4384	     13.0099	     15.7480	     19.4801
     14.2473	     14.5525	     16.1254	     12.5011
     21.6787	      4.7597	     -3.5914	      7.2941
     33.3574	     31.6922	     28.8979	     21.2126
     -8.5956	     -0.3076	    -11.4970	    -46.8710
     -5.2064	     -1.0345	    -22.9276	    -15.3813
    -17.6275	    -30.1273	    -27.7276	     -3.9713
      7.0676	     19.0357	    -16.2940	      7.7944
    -32.0807	    -25.9565	    -27.6906	    -24.8588
    -11.7801	     -6.6508	    -18.4770	      9.5795
      1.8085	      7.1237	      4.2755	     23.9234
    -12.6477	    -12.2017	    -23.1492	      1.4415
     19.0976	    -26.4092	      4.4657	     36.9934
    -45.0865	    -63.5571	    -45.9851	     -0.4184
    -38.9477	    -31.0832	    -63.8836	    -68.6969
    -37.5594	    -28.3905	    -41.4139	    -38.2838
     14.0019	     12.1206	    -14.4929	     13.5003
    -26.4306	     -7.0757	    -28.6678	    -27.3895
      6.8401	      6.4502	      8.3444	      6.6614
