# a0	a1	a2	a3
    -37.9474	    -26.7682	    -39.0116	    -39.3723
     -5.4558	     -6.5445	    -44.0853	     -5.2057
    -41.3692	    -42.2122	    -12.4319	    -40.1027
     -5.7227	      3.1617	    -22.4547	     -9.4067
    -35.0298	    -43.3241	    -38.2584	    -38.8539
     -3.1452	    -11.9364	    -27.7001	     -8.9132
     16.2742	      0.1976	     -3.0517	     -9.8989
      3.1542	    -20.1973	    -29.9521	    -30.9371
    -13.7165	     -6.4998	    -15.4469	      1.7374
     -0.7656	     -0.4832	     -4.5131	     -0.6011
    -36.8181	    -40.7840	    -48.8826	    -30.3922
    -31.8833	    -56.3405	    -58.9005	    -56.4525
    -25.7942	     -9.6856	    -42.8603	    -31.6431
      5.4888	      8.0870	      5.6296	     -0.4184
    -10.0079	     -1.8442	    -14.2636	    -22.4025
    -36.6995	    -36.7554	    -50.3130	    -23.3617
    -19.0909	    -25.7900	    -30.5824	    -24.5010
    -26.0687	    -33.7196	    -26.8790	    -26.9632
    -61.1026	    -15.5832	    -59.7477	    -58.3492
     -1.4858	     -7.6194	    -24.9261	     -7.8545
     -7.3309	    -10.4083	     -9.5632	    -12.7060
      8.4509	      5.0964	      6.6956	     -0.7748
    -21.2155	    -23.1444	    -32.1266	    -26.2416
    -34.7770	    -33.5554	    -51.4927	    -27.0853
    -64.1624	    -34.9454	    -73.4726	    -56.3641
    -12.1932	    -12.6005	    -33.5573	     -5.9671
     22.4477	     31.2307	     24.0309	     19.9767
     -9.7832	     26.3847	     -3.7556	     -5.3270
    -39.0003	    -21.7377	    -41.0203	     -1.5369
    -36.2154	    -24.6515	    -30.0365	     -5.1016
    -11.3471	     -1.4003	    -11.1309	    -13.3147
      8.0848	      1.9692	    -12.0868	      8.4118
   -110.3025	   -105.7660	   -112.8853	    -59.8868
   -102.9322	    -94.8535	   -108.9898	    -43.9832
     -1.8983	     -6.7543	     -0.4317	     -1.1454
     -9.3080	     -5.2994	    -18.0507	    -11.2879
    -29.3615	    -14.5089	    -35.6927	    -29.7070
    -17.6821	      7.1025	    -17.7952	    -19.4968
    -13.8985	      4.3843	    -16.7534	    -11.9221
    -36.7314	    -36.5456	    -31.8375	     -8.1508
    -29.1785	    -17.2090	    -25.4128	    -33.7208
    -70.4369	    -26.2802	    -69.7740	    -62.5051
     -5.4071	    -20.0957	    -40.8604	    -25.1067
    -36.1514	    -35.3689	    -35.2763	    -31.6778
     -9.8246	    -11.5749	    -24.1463	     -4.1056
    -46.4284	    -35.0154	    -63.2028	    -50.3793
    -41.1211	    -12.4282	    -46.7100	    -50.3084
    -31.3076	    -12.5922	    -28.5499	    -30.3395
    -82.6675	    -58.7785	    -55.7131	    -37.0899
      0.8536	    -16.8347	    -29.2405	    -16.1979
    -44.5427	    -28.7174	    -45.4788	    -44.7651
   -125.0191	    -70.9912	    -76.5267	    -19.1285
      3.9525	      1.8264	    -22.5001	     -9.5596
    -27.5739	    -27.6997	    -30.7062	    -17.3532
    -48.6457	    -51.4021	    -56.1739	    -17.1099
    -27.7708	    -12.2406	    -29.1732	    -29.2253
    -20.3387	    -16.1362	    -27.2006	     -6.4066
    -12.4367	    -20.3465	    -20.4317	    -16.7562
     -1.3145	     -3.6170	      6.8961	     -6.1599
   -114.8993	    -46.3739	   -215.3778	   -138.8965
      9.9373	     -2.4165	     -2.9441	     -2.9792
    -15.5570	    -17.9536	    -25.7562	    -17.6526
      3.9027	      7.9587	     21.6851	      6.5331
    -30.5414	    -15.0922	    -49.0628	    -30.3606
