x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg,right_leg,action
0.0049352646,1.4138473,0.49988198,0.1300958,-0.0057120314,-0.11323073,0.0,0.0,1
0.009807301,1.416695,0.49123883,0.1265368,-0.0097098,-0.079962194,0.0,0.0,1
0.014605522,1.4194403,0.4819982,0.121998206,-0.011850597,-0.042819854,0.0,0.0,1
0.019320393,1.4220977,0.47152996,0.118104525,-0.0118895415,-0.0007790945,0.0,0.0,1
0.023961926,1.4246658,0.46231943,0.114156246,-0.010080767,0.036178976,0.0,0.0,1
0.028520012,1.4271489,0.4518579,0.1103813,-0.0061739194,0.07814424,0.0,0.0,1
0.033009432,1.429546,0.44323564,0.106553264,-0.00054087676,0.1126714,0.0,0.0,1
0.037408065,1.4318438,0.431871,0.10210018,0.007366254,0.15815748,0.0,0.0,1
0.04171648,1.4340557,0.42055535,0.09823187,0.01753398,0.20337307,0.0,0.0,1
0.045952797,1.4361677,0.4115343,0.09368268,0.029502984,0.23940174,0.0,0.0,1
0.05009117,1.438175,0.39925593,0.08886517,0.043928463,0.28853592,0.0,0.0,1
0.054152966,1.4400871,0.3896668,0.08440796,0.060264573,0.32675257,0.0,0.0,0
0.05821409,1.4419053,0.3896201,0.08006561,0.076597616,0.32669112,0.0,0.0,3
0.062335968,1.4436313,0.39728266,0.075883485,0.09138325,0.29574007,0.0,0.0,1
0.06637411,1.4452584,0.386817,0.07118965,0.10825988,0.33756378,0.0,0.0,3
0.07050066,1.446817,0.39800918,0.06814884,0.122839995,0.29162872,0.0,0.0,1
0.074533746,1.4482647,0.38631374,0.062854044,0.13978168,0.3388644,0.0,0.0,0
0.07856598,1.4496188,0.38626868,0.058506247,0.15671904,0.33877778,0.0,0.0,3
0.08265658,1.4509004,0.3936934,0.05527808,0.17210975,0.3078423,0.0,0.0,3
0.08682108,1.4521012,0.40301806,0.051750842,0.18559723,0.2697741,0.0,0.0,1
0.090903,1.4531806,0.39269376,0.04595562,0.20121092,0.3123016,0.0,0.0,3
0.09505663,1.4541934,0.40180176,0.043113764,0.2149114,0.2740348,0.0,0.0,3
0.09928646,1.4551241,0.4113853,0.03963175,0.22665977,0.23498873,0.0,0.0,3
0.10361061,1.4559859,0.423258,0.036868915,0.23594992,0.18581964,0.0,0.0,3
0.10802002,1.4567935,0.43408704,0.034783863,0.24292696,0.1395532,0.0,0.0,3
0.112498,1.4575183,0.44269353,0.031361338,0.24812672,0.103995636,0.0,0.0,3
0.11705561,1.458178,0.45272765,0.028800417,0.25121522,0.061770223,0.0,0.0,3
0.12170057,1.4587615,0.46366534,0.025796251,0.25205868,0.016869187,0.0,0.0,3
